[15:21:36] [info] AXIS: Creating Window Axis Engine (1280, 720)
[15:21:36] [trace] AXIS: Storing underlying OS video mode: 1920x1080@60Hz (r8g8b8)
[15:21:36] [info] AXIS: OpenGL Info:
[15:21:36] [info] AXIS:   VENDOR : Intel
[15:21:36] [info] AXIS:   RENDERER : Intel(R) HD Graphics 520
[15:21:36] [info] AXIS:   VERSION : 4.6.0 - Build 27.20.100.8854
[15:21:36] [trace] AXIS: Changing window mode from Null to Windowed: [1280, 720]
[15:21:37] [info] APP: Frame rate: 1.4632468
[15:21:37] [info] APP: Frame rate: 26.413824
[15:21:37] [info] APP: Frame rate: 34.585636
[15:21:37] [info] APP: Frame rate: 55.1338
[15:21:37] [info] APP: Frame rate: 62.56957
[15:21:37] [info] APP: Frame rate: 53.070957
[15:21:37] [info] APP: Frame rate: 68.50359
[15:21:37] [info] APP: Frame rate: 58.49837
[15:21:37] [info] APP: Frame rate: 55.386253
[15:21:37] [info] APP: Frame rate: 60.968594
[15:21:37] [info] APP: Frame rate: 66.6204
[15:21:37] [info] APP: Frame rate: 62.869686
[15:21:37] [info] APP: Frame rate: 59.825897
[15:21:37] [info] APP: Frame rate: 53.74832
[15:21:37] [info] APP: Frame rate: 70.50821
[15:21:37] [info] APP: Frame rate: 52.269543
[15:21:37] [info] APP: Frame rate: 71.33685
[15:21:37] [info] APP: Frame rate: 55.795536
[15:21:37] [info] APP: Frame rate: 56.723476
[15:21:37] [info] APP: Frame rate: 31.574936
[15:21:37] [info] APP: Frame rate: 56.278988
[15:21:37] [info] APP: Frame rate: 65.52934
[15:21:37] [info] APP: Frame rate: 56.802986
[15:21:37] [info] APP: Frame rate: 56.439915
[15:21:37] [info] APP: Frame rate: 56.956486
[15:21:37] [info] APP: Frame rate: 68.51423
[15:21:37] [info] APP: Frame rate: 62.376717
[15:21:37] [info] APP: Frame rate: 52.52696
[15:21:37] [info] APP: Frame rate: 67.791664
[15:21:37] [info] APP: Frame rate: 50.610004
[15:21:37] [info] APP: Frame rate: 60.67314
[15:21:37] [info] APP: Frame rate: 62.443115
[15:21:37] [info] APP: Frame rate: 65.85964
[15:21:37] [info] APP: Frame rate: 58.82078
[15:21:37] [info] APP: Frame rate: 57.07468
[15:21:37] [info] APP: Frame rate: 60.865963
[15:21:37] [info] APP: Frame rate: 64.74889
[15:21:37] [info] APP: Frame rate: 62.783813
[15:21:37] [info] APP: Frame rate: 61.092476
[15:21:37] [info] APP: Frame rate: 60.129944
[15:21:37] [info] APP: Frame rate: 61.890274
[15:21:37] [info] APP: Frame rate: 55.360847
[15:21:37] [info] APP: Frame rate: 63.262028
[15:21:37] [info] APP: Frame rate: 61.055126
[15:21:37] [info] APP: Frame rate: 51.291725
[15:21:37] [info] APP: Frame rate: 74.26768
[15:21:37] [info] APP: Frame rate: 51.178448
[15:21:37] [info] APP: Frame rate: 69.684975
[15:21:37] [info] APP: Frame rate: 52.75456
[15:21:37] [info] APP: Frame rate: 63.070343
[15:21:37] [info] APP: Frame rate: 58.712505
[15:21:37] [info] APP: Frame rate: 68.93368
[15:21:37] [info] APP: Frame rate: 53.63183
[15:21:37] [info] APP: Frame rate: 67.00648
[15:21:37] [info] APP: Frame rate: 60.83374
[15:21:37] [info] APP: Frame rate: 60.23443
[15:21:38] [info] APP: Frame rate: 59.09676
[15:21:38] [info] APP: Frame rate: 53.162106
[15:21:38] [info] APP: Frame rate: 62.397594
[15:21:38] [info] APP: Frame rate: 57.537006
[15:21:38] [info] APP: Frame rate: 61.52532
[15:21:38] [info] APP: Frame rate: 65.77856
[15:21:38] [info] APP: Frame rate: 62.64082
[15:21:38] [info] APP: Frame rate: 59.130505
[15:21:38] [info] APP: Frame rate: 58.97503
[15:21:38] [info] APP: Frame rate: 62.40038
[15:21:38] [info] APP: Frame rate: 53.705307
[15:21:38] [info] APP: Frame rate: 60.662613
[15:21:38] [info] APP: Frame rate: 57.030056
[15:21:38] [info] APP: Frame rate: 68.91612
[15:21:38] [info] APP: Frame rate: 61.165085
[15:21:38] [info] APP: Frame rate: 56.591072
[15:21:38] [info] APP: Frame rate: 56.296738
[15:21:38] [info] APP: Frame rate: 67.09169
[15:21:38] [info] APP: Frame rate: 55.137787
[15:21:38] [info] APP: Frame rate: 60.304146
[15:21:38] [info] APP: Frame rate: 66.25811
[15:21:38] [info] APP: Frame rate: 50.70085
[15:21:38] [info] APP: Frame rate: 71.25899
[15:21:38] [info] APP: Frame rate: 59.679058
[15:21:38] [info] APP: Frame rate: 61.476624
[15:21:38] [info] APP: Frame rate: 50.55998
[15:21:38] [info] APP: Frame rate: 74.02584
[15:21:38] [info] APP: Frame rate: 54.57709
[15:21:38] [info] APP: Frame rate: 64.09095
[15:21:38] [info] APP: Frame rate: 55.92927
[15:21:38] [info] APP: Frame rate: 61.06935
[15:21:38] [info] APP: Frame rate: 62.031235
[15:21:38] [info] APP: Frame rate: 59.353077
[15:21:38] [info] APP: Frame rate: 53.34907
[15:21:38] [info] APP: Frame rate: 67.56397
[15:21:38] [info] APP: Frame rate: 55.462605
[15:21:38] [info] APP: Frame rate: 74.334145
[15:21:38] [info] APP: Frame rate: 53.36672
[15:21:38] [info] APP: Frame rate: 66.06972
[15:21:38] [info] APP: Frame rate: 51.35107
[15:21:38] [info] APP: Frame rate: 68.770355
[15:21:38] [info] APP: Frame rate: 58.378277
[15:21:38] [info] APP: Frame rate: 61.195873
[15:21:38] [info] APP: Frame rate: 54.63183
[15:21:38] [info] APP: Frame rate: 68.53326
[15:21:38] [info] APP: Frame rate: 60.299377
[15:21:38] [info] APP: Frame rate: 63.885944
[15:21:38] [info] APP: Frame rate: 50.465076
[15:21:38] [info] APP: Frame rate: 72.95203
[15:21:38] [info] APP: Frame rate: 56.19529
[15:21:38] [info] APP: Frame rate: 31.79671
[15:21:38] [info] APP: Frame rate: 27.515902
[15:21:38] [info] APP: Frame rate: 31.405775
[15:21:38] [info] APP: Frame rate: 29.572964
[15:21:38] [info] APP: Frame rate: 29.965736
[15:21:39] [info] APP: Frame rate: 54.84543
[15:21:39] [info] APP: Frame rate: 61.729053
[15:21:39] [info] APP: Frame rate: 32.16614
[15:21:39] [info] APP: Frame rate: 60.398365
[15:21:39] [info] APP: Frame rate: 58.408356
[15:21:39] [info] APP: Frame rate: 30.3682
[15:21:39] [info] APP: Frame rate: 62.597816
[15:21:39] [info] APP: Frame rate: 52.929646
[15:21:39] [info] APP: Frame rate: 70.99844
[15:21:39] [info] APP: Frame rate: 52.147205
[15:21:39] [info] APP: Frame rate: 56.34779
[15:21:39] [info] APP: Frame rate: 31.506271
[15:21:39] [info] APP: Frame rate: 56.381115
[15:21:39] [info] APP: Frame rate: 65.03704
[15:21:39] [info] APP: Frame rate: 31.288168
[15:21:39] [info] APP: Frame rate: 29.454176
[15:21:39] [info] APP: Frame rate: 29.353992
[15:21:39] [info] APP: Frame rate: 58.461273
[15:21:39] [info] APP: Frame rate: 60.698166
[15:21:39] [info] APP: Frame rate: 61.974407
[15:21:39] [info] APP: Frame rate: 63.646496
[15:21:39] [info] APP: Frame rate: 54.025944
[15:21:39] [info] APP: Frame rate: 68.01206
[15:21:39] [info] APP: Frame rate: 60.613956
[15:21:39] [info] APP: Frame rate: 59.888683
[15:21:39] [info] APP: Frame rate: 57.468815
[15:21:39] [info] APP: Frame rate: 28.594538
[15:21:39] [info] APP: Frame rate: 31.061556
[15:21:39] [info] APP: Frame rate: 28.43538
[15:21:39] [info] APP: Frame rate: 20.8836
[15:21:39] [info] APP: Frame rate: 67.70904
[15:21:39] [info] APP: Frame rate: 55.274757
[15:21:39] [info] APP: Frame rate: 62.499874
[15:21:39] [info] APP: Frame rate: 56.689743
[15:21:39] [info] APP: Frame rate: 61.147697
[15:21:39] [info] APP: Frame rate: 20.255978
[15:21:39] [info] APP: Frame rate: 29.37702
[15:21:39] [info] APP: Frame rate: 55.104103
[15:21:39] [info] APP: Frame rate: 59.301052
[15:21:39] [info] APP: Frame rate: 33.265686
[15:21:39] [info] APP: Frame rate: 52.673073
[15:21:39] [info] APP: Frame rate: 32.63618
[15:21:39] [info] APP: Frame rate: 48.35657
[15:21:40] [info] APP: Frame rate: 28.989813
[15:21:40] [info] APP: Frame rate: 32.43052
[15:21:40] [info] APP: Frame rate: 68.49185
[15:21:40] [info] APP: Frame rate: 51.91613
[15:21:40] [info] APP: Frame rate: 69.655464
[15:21:40] [info] APP: Frame rate: 52.72538
[15:21:40] [info] APP: Frame rate: 69.6844
[15:21:40] [info] APP: Frame rate: 60.294174
[15:21:40] [info] APP: Frame rate: 59.86646
[15:21:40] [info] APP: Frame rate: 62.89349
[15:21:40] [info] APP: Frame rate: 29.95696
[15:21:40] [info] APP: Frame rate: 58.33849
[15:21:40] [info] APP: Frame rate: 60.45669
[15:21:40] [info] APP: Frame rate: 54.03847
[15:21:40] [info] APP: Frame rate: 53.29078
[15:21:40] [info] APP: Frame rate: 76.65309
[15:21:40] [info] APP: Frame rate: 56.649162
[15:21:40] [info] APP: Frame rate: 56.46689
[15:21:40] [info] APP: Frame rate: 55.917343
[15:21:40] [info] APP: Frame rate: 65.09256
[15:21:40] [info] APP: Frame rate: 60.057617
[15:21:40] [info] APP: Frame rate: 68.22003
[15:21:40] [info] APP: Frame rate: 55.354275
[15:21:40] [info] APP: Frame rate: 66.694824
[15:21:40] [info] APP: Frame rate: 62.09368
[15:21:40] [info] APP: Frame rate: 59.12967
[15:21:40] [info] APP: Frame rate: 54.961136
[15:21:40] [info] APP: Frame rate: 52.143314
[15:21:40] [info] APP: Frame rate: 61.733597
[15:21:40] [info] APP: Frame rate: 75.464264
[15:21:40] [info] APP: Frame rate: 53.795197
[15:21:40] [info] APP: Frame rate: 62.826603
[15:21:40] [info] APP: Frame rate: 56.196796
[15:21:40] [info] APP: Frame rate: 64.70095
[15:21:40] [info] APP: Frame rate: 60.816982
[15:21:40] [info] APP: Frame rate: 65.60776
[15:21:40] [info] APP: Frame rate: 47.18427
[15:21:40] [info] APP: Frame rate: 22.063904
[15:21:40] [info] APP: Frame rate: 54.089344
[15:21:40] [info] APP: Frame rate: 65.38072
[15:21:40] [info] APP: Frame rate: 57.6394
